dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,smean,dmean,ct_srv_src,ct_dst_ltm,ct_src_ltm,ct_srv_dst,label
1.524685,12,12,1002,930,15.085083,254,252,4821.979492,4475.678711,3,2,138.607727,137.02,9465.202015,212.491656,84,78,2,1,1,2,1
0.321182,4,4,568,312,21.794496,31,29,10610.80566,5828.470703,0,0,101.996336,83.947664,144.234703,118.713562,142,78,3,3,2,4,0
14.341187,2004,318,2654524,14656,161.84156,62,252,1480044.875,8149.953125,999,8,7.174135,45.215922,1185.720644,71.595812,1325,46,1,1,1,1,1
0.000951,2,2,146,178,3154.574054,31,29,614090.4375,748685.5625,0,0,0.001,0.004,0.0,0.0,73,89,2,3,1,3,0
2.41572,16,12,896,682,11.176792,254,252,2781.779297,2073.087891,4,4,161.048002,208.857812,10671.95877,294.523281,56,57,1,1,1,1,1
0.020865,48,50,2958,32642,4648.933446,31,29,1110759.625,12265516.0,7,18,0.446891,0.41502,25.105367,23.12413,62,653,7,6,7,8,0
0.018721,16,18,1540,1644,1762.72641,31,29,617061.0625,663639.8125,4,4,1.227067,1.072823,74.868272,2.072854,96,91,13,7,13,7,0
0.01809,16,18,1540,1644,1824.212234,31,29,638584.8125,686788.25,4,4,1.185467,1.102313,72.110708,2.084539,96,91,17,6,11,14,0
0.821777,22,20,7100,1886,49.891881,62,252,65983.83594,17445.12305,8,8,39.13224,42.196211,2103.886021,51.929,323,94,1,1,1,1,1
2e-06,2,0,104,0,500000.0013,254,0,208000000.0,0.0,0,0,0.002,0.0,0.0,0.0,52,0,3,1,1,2,1
0.153897,12,6,5010,268,110.46349,254,252,238757.0938,11644.15137,3,1,12.545818,29.454801,786.008365,47.422574,418,45,1,1,1,1,1
3.198769,30,84,1376,86768,35.326088,62,252,3328.780518,214422.4844,7,40,110.299274,37.633675,6789.531014,4102.251616,46,1033,1,2,2,1,1
1.219615,10,8,952,354,13.938825,254,252,5621.446289,2033.428589,2,1,135.423,158.765,8132.425041,239.917672,95,44,1,1,1,1,1
0.001031,2,2,146,178,2909.796171,31,29,566440.3125,690591.625,0,0,0.009,0.005,0.0,0.0,73,89,3,4,2,6,0
1e-05,2,0,1064,0,100000.0025,254,0,425600000.0,0.0,0,0,0.01,0.0,0.0,0.0,532,0,28,8,8,28,0
0.03888,38,40,2438,19266,1980.452586,31,29,488477.3438,3865226.25,7,13,1.071222,0.983308,64.70674,61.191012,64,482,12,6,2,3,0
0.626368,10,6,490,268,23.947584,254,252,5632.47168,2860.937988,2,1,67.425111,109.311602,3749.759038,160.743359,49,45,1,18,1,1,1
1.282109,10,8,2516,354,13.259403,254,252,14132.96387,1934.312866,2,1,135.688444,164.470578,7388.699113,265.645375,252,44,4,1,1,3,1
1.229186,12,8,5182,354,15.457383,254,252,30921.27539,2017.595337,3,1,111.74418,165.891719,7042.803147,279.411906,432,44,3,1,1,3,1
0.300981,8,8,364,1174,49.837035,62,252,8478.941406,27323.98438,1,2,42.997286,40.785285,2764.292375,82.433937,46,147,1,2,1,1,1
0.856956,10,8,534,354,19.837658,254,252,4490.312012,2893.964111,2,1,91.894444,110.273711,5200.49612,193.706078,53,44,3,1,1,3,0
0.386367,10,6,938,268,38.823192,254,252,17496.31836,4638.077148,2,1,42.929667,62.578,2042.971969,82.718312,94,45,2,3,1,1,1
0.792128,228,438,13142,548216,839.510758,31,29,132150.3594,5524006.0,21,197,3.488132,1.815702,704.535669,504.019952,58,1252,2,6,2,9,0
1.391402,20,16,4640,1122,25.154484,254,252,25344.2207,6048.575195,7,6,72.122002,89.982867,4754.040492,143.371469,232,70,1,1,1,1,1
1.206888,8,8,364,854,12.42866,62,252,2114.529297,4958.206543,1,2,172.412567,164.208281,12441.39525,336.318156,46,107,1,1,1,1,1
0.278437,126,126,12648,13306,901.460691,31,29,360526.8125,379288.6875,35,33,2.301132,2.314342,245.889013,248.837026,100,106,1,6,1,1,0
0.844675,52,54,2934,3740,124.308165,31,29,27257.82031,34768.40234,11,15,16.8873,15.924302,1434.83001,52.777863,56,69,1,6,6,2,0
8.424387,26,26,1849,1135,6.053853,254,252,1688.431519,1036.98938,8,8,336.95361,334.110594,25849.23555,824.392187,71,44,5,3,3,2,1
1.251273,10,8,644,354,13.586163,254,252,3708.223389,1981.981445,2,1,138.927444,164.707281,8601.681207,234.442641,64,44,3,1,2,1,1
0.039972,48,50,2974,30506,2426.6987,31,29,583008.125,5983388.5,7,18,0.862239,0.839128,59.758654,58.640683,62,610,4,3,3,2,0
0.479512,12,22,860,21882,68.819966,62,252,13163.38281,348487.625,2,9,43.540454,18.855904,2203.586689,1706.340985,72,995,1,1,1,1,1
1.235264,60,14,68189,612,59.096682,254,252,434258.5938,3685.04248,27,1,20.152017,89.684766,2390.374008,156.985953,1136,44,8,1,3,2,1
7e-06,2,0,90,0,142857.1409,254,0,51428572.0,0.0,1,0,0.007,0.0,0.0,0.0,45,0,11,4,4,11,0
0.066851,84,86,4862,75600,2528.010146,31,29,575010.125,8941796.0,7,36,0.82158,0.799373,49.57353,49.786639,58,879,3,1,2,3,0
1.1e-05,2,0,168,0,90909.0902,254,0,61090908.0,0.0,0,0,0.011,0.0,0.0,0.0,84,0,6,1,2,1,1
0.913163,16,10,2156,556,27.377368,254,252,17714.25195,4389.139648,5,3,60.860866,92.456109,3213.742471,136.778141,135,56,5,2,2,5,0
7e-06,2,0,78,0,142857.1409,254,0,44571428.0,0.0,0,0,0.007,0.0,0.0,0.0,39,0,15,2,2,11,1
0.032186,40,42,2542,23508,2516.622013,31,29,616168.5,5704094.5,7,14,0.838421,0.791975,77.764935,75.402661,64,560,8,1,5,11,0
0.001796,4,4,528,304,3897.549992,31,29,1763919.75,1015590.188,0,0,0.449667,0.240333,0.629561,0.332107,132,76,8,8,4,7,0
1.16006,14,18,1684,10168,26.722755,31,29,10785.64844,66231.05469,3,5,89.208923,68.205706,8831.91908,7735.802573,120,565,1,2,9,2,0
7e-06,2,0,350,0,142857.1409,254,0,200000000.0,0.0,0,0,0.007,0.0,0.0,0.0,175,0,1,17,1,1,1
9e-06,2,0,640,0,111111.1072,254,0,284444448.0,0.0,0,0,0.009,0.0,0.0,0.0,320,0,37,8,8,37,0
1.475893,10,8,2550,354,11.51845,254,252,12439.92578,1680.338623,2,1,158.533222,200.934281,9555.533252,348.239031,255,44,1,1,1,1,1
11.32145,4,0,400,0,0.264984,254,0,211.986969,0.0,0,0,3773.81675,0.0,5336.978,0.0,100,0,2,1,2,2,1
0.0,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60001.184,0.0,15.492086,0.0,46,0,2,2,2,2,0
0.001042,2,2,146,178,2879.078645,31,29,560460.625,683301.3125,0,0,0.01,0.007,0.0,0.0,73,89,1,1,1,5,0
0.503985,10,6,738,268,29.762791,254,252,10555.87012,3555.661377,2,1,45.702222,88.195203,2658.863405,119.295281,74,45,6,1,2,6,0
0.000982,2,2,130,162,3054.989733,31,29,529531.5625,659877.8125,0,0,0.001,0.004,0.0,0.0,65,81,3,1,5,6,0
8e-06,2,0,78,0,125000.0003,254,0,39000000.0,0.0,0,0,0.008,0.0,0.0,0.0,39,0,7,1,1,6,1
0.685257,10,8,850,1274,24.80821,62,252,8930.956055,13017.01367,2,2,76.139667,87.194289,3923.768702,120.059195,85,159,2,1,2,2,0
1.662853,32,20,16491,1768,30.670179,62,252,76860.67188,8082.494141,13,8,53.640419,83.282734,3136.012482,92.734445,515,88,1,1,1,1,1
0.521336,10,6,762,268,28.77223,254,252,10526.79981,3437.32251,2,1,51.491222,88.717797,2598.254913,122.358398,76,45,6,3,2,7,0
0.005292,4,4,568,304,1322.751377,31,29,643990.9375,344671.2188,0,0,1.283,1.29,1.805245,1.821507,142,76,9,6,5,3,0
0.383066,10,6,610,268,39.157743,254,252,11465.3877,4678.044922,2,1,42.455444,64.975602,2148.19993,99.491789,61,45,4,1,2,2,1
4.216133,52,26,44683,2016,18.26318,62,252,83154.86719,3679.200684,23,8,82.651685,162.465516,8470.09957,343.206094,859,78,1,1,1,1,1
0.77572,10,8,862,1078,21.915124,62,252,8002.887695,9735.47168,2,2,86.191111,94.43157,4596.218221,181.180563,86,135,1,1,25,1,1
0.506878,52,42,37492,3380,183.476096,31,29,580352.625,52083.53516,18,8,9.932236,12.350927,794.841609,25.786189,721,80,2,4,1,2,0
0.642381,12,26,888,29238,57.598216,62,252,10137.28613,350122.4375,2,11,58.398274,23.0904,3187.520047,2799.703466,74,1125,1,1,2,1,1
0.006049,22,24,1958,2308,7439.24592,31,29,2471813.5,2925442.25,6,6,0.272095,0.249409,17.023532,13.839993,89,96,10,2,3,2,0
0.634085,10,6,1754,268,23.656134,62,252,19921.61914,2826.119629,2,1,63.674556,115.345797,3522.103619,179.906297,175,45,1,1,1,1,1
0.0,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.752,0.0,10.95452,0.0,46,0,2,2,2,2,0
2.193682,10,10,866,2426,8.661237,62,252,2844.532715,7964.691406,2,2,243.728,233.789,14319.32396,443.502031,87,243,1,1,1,2,1
0.680308,10,6,948,268,22.048837,254,252,10042.51074,2634.101074,2,1,72.080444,115.019398,3820.437718,177.040484,95,45,1,1,3,1,1
0.003382,8,12,424,8824,5617.977681,31,29,877587.25,19134240.0,1,4,0.438571,0.262091,27.195074,17.569137,53,735,3,5,5,3,0
1.907545,10,8,564,354,8.911979,254,252,2130.487061,1300.100464,2,1,211.949444,251.392141,12754.3846,382.084031,56,44,4,3,3,4,1
4e-06,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,57,0,27,16,16,27,1
0.877237,10,8,798,1152,19.379027,62,252,6556.950684,9192.498047,2,2,97.470778,114.880711,5476.264821,244.636937,80,144,1,1,1,1,1
0.009905,38,40,2438,19266,7773.85142,31,29,1917415.375,15172135.0,7,13,0.255459,0.241487,14.428538,13.832293,64,482,9,8,2,6,0
0.102754,60,62,3598,48710,1177.569766,31,29,275531.875,3731241.75,7,24,1.736305,1.675656,94.682791,94.462366,60,786,5,7,3,14,0
0.005632,22,24,2054,2478,7990.056756,31,29,2785511.25,3373579.5,6,6,0.278526,0.216261,16.151498,13.005028,93,103,6,2,2,8,0
15.628892,24,24,1264,1700,3.007251,62,252,620.389465,834.352173,7,9,679.507109,672.877125,59614.97732,1903.98075,53,71,1,3,3,1,1
0.615848,12,10,1098,842,34.099323,254,252,13081.14941,9846.584961,3,2,55.986182,61.419445,3752.785415,110.604008,92,84,3,27,2,3,1
0.019201,16,18,1540,1644,1718.66055,31,29,601635.375,647049.6875,4,4,1.258733,1.102059,78.891864,2.429199,96,91,8,5,8,7,0
0.993657,10,6,534,268,15.095752,254,252,3872.563721,1803.439209,2,1,104.97,189.948,6468.169948,332.266594,53,45,4,2,2,4,1
1.021119,10,6,534,268,14.689767,254,252,3768.414795,1754.9375,2,1,109.083111,193.631594,6997.888019,346.156219,53,45,3,2,2,3,1
3e-06,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,57,0,3,4,3,3,1
5e-06,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,57,0,22,17,17,22,1
0.005088,18,18,3744,2456,6878.930692,31,29,5559748.5,3647798.75,7,7,0.281765,0.2855,13.841293,0.37457,208,136,6,6,4,7,0
0.324419,12,10,1232,2232,64.731106,62,252,27865.19922,49540.87109,3,3,29.492636,34.946,1555.017247,55.093203,103,223,1,2,1,1,1
0.015536,38,42,2438,19370,5084.963948,31,29,1222451.125,9736869.0,7,13,0.410514,0.37475,23.230872,20.713614,64,461,8,3,4,4,0
0.030041,72,74,4238,63516,4826.736813,31,29,1113145.375,16685996.0,7,30,0.422957,0.409778,22.27799,21.613773,59,858,5,1,2,7,0
0.024915,60,62,3614,50036,4856.512059,31,29,1141159.875,15807024.0,7,24,0.416576,0.394541,22.277971,21.518035,60,807,13,2,2,8,0
6e-06,2,0,2898,0,166666.6608,254,0,1931999872.0,0.0,0,0,0.006,0.0,0.0,0.0,1449,0,1,1,1,2,1
1.238616,14,12,810,682,20.183818,254,252,4863.492676,4043.222412,4,4,87.004925,105.844367,4725.864055,133.056672,58,57,1,1,1,1,0
0.034624,78,80,4550,72810,4534.427099,31,29,1037892.813,16612755.0,7,33,0.457387,0.441935,23.542142,22.86256,58,910,4,2,2,6,0
1.067859,14,12,2034,678,23.411329,254,252,14151.68066,4659.791016,4,4,82.143002,89.709094,4061.557594,122.443773,145,57,3,1,1,3,0
0.958359,8,8,364,820,15.651755,62,252,2662.885254,5993.578613,1,2,136.908429,123.44957,8869.193973,246.042,46,103,1,4,2,1,1
1.7e-05,3,0,3022,0,117647.0568,254,0,948235264.0,0.0,0,0,0.013,0.0,0.0,0.0,1007,0,10,1,4,4,1
0.853249,10,8,1530,1642,19.923844,62,252,12910.65039,13473.20606,2,2,94.805444,101.567,4810.542132,174.585344,153,205,2,1,1,1,1
0.039953,90,92,5174,83812,4530.323034,31,29,1024603.875,16599704.0,7,39,0.445427,0.441708,22.781531,22.536313,57,911,13,3,4,5,0
0.308364,14,6,8928,320,61.615493,31,29,215096.4375,6926.878418,4,1,23.720308,61.532398,1952.755437,79.083008,638,53,3,3,4,3,0
2e-06,2,0,202,0,500000.0013,254,0,404000000.0,0.0,0,0,0.002,0.0,0.0,0.0,101,0,7,3,5,6,1
0.263521,10,8,912,1186,64.510991,62,252,24924.01172,31511.72266,2,2,29.280111,36.389145,1436.682425,53.317223,91,148,2,1,1,1,1
5e-06,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,57,0,29,3,3,29,1
0.55691,10,6,2516,268,26.934335,254,252,32536.67773,3217.755127,2,1,55.777889,85.806602,2937.66476,119.691055,252,45,1,1,1,1,0
1.626036,10,8,994,354,10.454873,254,252,4403.346191,1525.181396,2,1,180.655111,221.381141,10313.24795,335.458937,99,44,1,1,1,3,0
0.005448,22,24,2054,2478,8259.911834,31,29,2879588.75,3487518.25,6,6,0.25615,0.211696,15.222335,12.550795,93,103,3,1,3,2,0
1.489114,12,8,1042,748,12.759265,254,252,5135.939941,3518.87085,3,2,135.364821,196.962,7445.042592,329.123625,87,94,3,1,4,1,1
0.344841,122,126,7820,15306,716.27213,31,29,179932.2031,352278.2813,30,32,2.969836,2.755032,301.111656,293.126602,64,121,4,3,2,4,0
0.863245,10,8,2516,354,19.693134,254,252,20990.56445,2872.880859,2,1,95.815111,107.357711,5645.178574,156.221,252,44,4,1,5,3,1
0.249675,12,6,4834,268,68.088514,254,252,142008.6094,7177.330566,3,1,22.697727,46.218801,1238.840219,67.579445,403,45,1,1,1,1,1
9.912898,230,438,13246,548216,67.286075,31,29,10643.91016,441416.8125,21,197,43.476079,22.682691,16684.00861,12068.35662,58,1252,6,10,3,16,0
0.673461,10,6,756,268,22.273004,254,252,8089.555176,2660.881592,2,1,69.327667,112.163797,3456.638522,155.076125,76,45,4,1,1,4,1
0.213123,22,24,1920,4312,211.145683,31,29,68805.33594,155140.4688,6,6,10.131572,9.237348,729.852132,696.885827,87,180,9,5,4,7,0
0.486992,10,8,842,1356,34.908171,62,252,12451.9502,19499.29297,2,2,53.997222,61.572,2702.899614,74.522102,84,170,3,1,3,1,1
5e-06,2,0,2640,0,200000.0051,254,0,2112000000.0,0.0,0,0,0.005,0.0,0.0,0.0,1320,0,4,1,1,2,1
0.005645,4,4,568,312,1240.035449,31,29,603720.125,331620.9063,0,0,1.493667,1.420333,2.105292,2.000878,142,78,6,7,7,8,0
12.757559,10,8,564,354,1.332543,254,252,318.556244,194.394562,2,1,1417.506556,1808.624625,95440.17989,2984.17875,56,44,2,1,3,1,1
0.003411,2,2,146,178,879.507503,31,29,171210.7969,208736.4531,0,0,0.005,0.002,0.0,0.0,73,89,3,3,7,4,0
