"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"28","2.021850500","124.225.102.15","192.168.1.10","TCP","70","[TCP Previous segment not captured] 31565  >  62353 [ACK] Seq=2 Ack=1 Win=94 Len=0 SLE=0 SRE=1","31565","62353"
"29","2.029986500","124.225.102.15","192.168.1.10","TCP","58","31565  >  49826 [ACK] Seq=0 Ack=2 Win=94 Len=0","31565","49826"
"30","2.030003300","192.168.1.10","124.225.102.15","TCP","54","[TCP Dup ACK 27#1] [TCP ACKed unseen segment] 49826  >  31565 [ACK] Seq=2 Ack=1 Win=255 Len=0","49826","31565"
"31","2.043066000","124.225.102.15","192.168.1.10","TCP","70","[TCP Previous segment not captured] 31565  >  49826 [ACK] Seq=1 Ack=2 Win=94 Len=0 SLE=1 SRE=2","31565","49826"
"32","2.189492700","192.168.1.10","58.20.254.99","TCP","55","62374  >  31565 [ACK] Seq=1 Ack=1 Win=255 Len=1","62374","31565"
"33","2.223908200","58.20.254.99","192.168.1.10","TCP","70","31565  >  62374 [ACK] Seq=1 Ack=2 Win=94 Len=0 SLE=1 SRE=2","31565","62374"
"34","3.199132700","192.168.1.10","58.20.254.99","TCP","55","55012  >  31565 [ACK] Seq=1 Ack=1 Win=255 Len=1","55012","31565"
"35","3.220999200","58.20.254.99","192.168.1.10","TCP","70","31565  >  55012 [ACK] Seq=1 Ack=2 Win=1425 Len=0 SLE=1 SRE=2","31565","55012"
"36","3.305459600","192.168.1.10","223.6.6.6","UDP","67","63797  >  443 Len=25","63797","443"
"37","3.377712300","223.6.6.6","192.168.1.10","UDP","74","443  >  63797 Len=28","443","63797"
"38","3.758997300","192.168.1.10","58.20.254.99","TCP","55","63325  >  31565 [ACK] Seq=1 Ack=1 Win=253 Len=1","63325","31565"
"39","3.791891700","58.20.254.99","192.168.1.10","TCP","70","31565  >  63325 [ACK] Seq=1 Ack=2 Win=2524 Len=0 SLE=1 SRE=2","31565","63325"
"40","4.488204100","fe80::1","2408:8256:886:2154:e938:bc81:3c98:95ca","ICMPv6","86","Neighbor Solicitation for 2408:8256:886:2154:e938:bc81:3c98:95ca from e4:66:ab:25:06:b8","",""
"41","4.488267500","2408:8256:886:2154:e938:bc81:3c98:95ca","fe80::1","ICMPv6","86","Neighbor Advertisement 2408:8256:886:2154:e938:bc81:3c98:95ca (sol, ovr) is at d4:ab:61:b7:de:be","",""
"42","5.274668300","192.168.1.10","58.20.254.99","TLSv1.2","104","Application Data","55050","31565"
"43","5.308598700","58.20.254.99","192.168.1.10","TCP","58","31565  >  55050 [ACK] Seq=1 Ack=51 Win=420 Len=0","31565","55050"
"44","5.397912000","192.168.1.10","124.225.102.15","TCP","55","64300  >  31565 [ACK] Seq=1 Ack=1 Win=254 Len=1","64300","31565"
"45","5.417009000","124.225.102.15","192.168.1.10","TCP","70","31565  >  64300 [ACK] Seq=1 Ack=2 Win=94 Len=0 SLE=1 SRE=2","31565","64300"
"46","5.538549700","58.20.254.99","192.168.1.10","TLSv1.2","104","Application Data","31565","55050"
"47","5.584361700","192.168.1.10","58.20.254.99","TCP","54","55050  >  31565 [ACK] Seq=51 Ack=47 Win=253 Len=0","55050","31565"
"48","5.603508600","124.225.102.15","192.168.1.10","TCP","58","31565  >  49836 [ACK] Seq=1 Ack=1 Win=94 Len=0","31565","49836"
"49","5.603535900","192.168.1.10","124.225.102.15","TCP","54","[TCP ACKed unseen segment] 49836  >  31565 [ACK] Seq=1 Ack=2 Win=255 Len=0","49836","31565"
"50","5.605616100","124.225.102.15","192.168.1.10","TCP","58","31565  >  49834 [ACK] Seq=1 Ack=1 Win=94 Len=0","31565","49834"
"51","5.605622300","192.168.1.10","124.225.102.15","TCP","54","[TCP ACKed unseen segment] 49834  >  31565 [ACK] Seq=1 Ack=2 Win=255 Len=0","49834","31565"
"52","5.614751200","192.168.1.10","124.225.102.15","TCP","55","[TCP Keep-Alive] 49834  >  31565 [ACK] Seq=0 Ack=2 Win=255 Len=1","49834","31565"
"53","5.631086900","124.225.102.15","192.168.1.10","TCP","70","[TCP Previous segment not captured] 31565  >  49834 [ACK] Seq=2 Ack=1 Win=94 Len=0 SLE=0 SRE=1","31565","49834"
"54","5.634612800","124.225.102.15","192.168.1.10","TCP","58","31565  >  49835 [ACK] Seq=1 Ack=1 Win=94 Len=0","31565","49835"
"55","5.634631000","192.168.1.10","124.225.102.15","TCP","54","[TCP ACKed unseen segment] 49835  >  31565 [ACK] Seq=1 Ack=2 Win=255 Len=0","49835","31565"
"56","5.645749400","192.168.1.10","124.225.102.15","TCP","55","[TCP Keep-Alive] 49836  >  31565 [ACK] Seq=0 Ack=2 Win=255 Len=1","49836","31565"
"57","5.645770600","192.168.1.10","124.225.102.15","TCP","55","[TCP Keep-Alive] 49835  >  31565 [ACK] Seq=0 Ack=2 Win=255 Len=1","49835","31565"
"58","5.661150000","192.168.1.10","124.225.102.15","TCP","55","62388  >  31565 [ACK] Seq=1 Ack=1 Win=255 Len=1","62388","31565"
"59","5.663791600","124.225.102.15","192.168.1.10","TCP","70","[TCP Previous segment not captured] 31565  >  49835 [ACK] Seq=2 Ack=1 Win=94 Len=0 SLE=0 SRE=1","31565","49835"
"60","5.664748500","124.225.102.15","192.168.1.10","TCP","70","[TCP Previous segment not captured] 31565  >  49836 [ACK] Seq=2 Ack=1 Win=94 Len=0 SLE=0 SRE=1","31565","49836"
"61","5.683505100","124.225.102.15","192.168.1.10","TCP","70","31565  >  62388 [ACK] Seq=1 Ack=2 Win=94 Len=0 SLE=1 SRE=2","31565","62388"
"62","5.914545900","58.20.254.99","192.168.1.10","TLSv1.2","401","Application Data","31565","55050"
"63","5.914969900","192.168.1.10","58.20.254.99","TLSv1.2","264","Application Data","55050","31565"
"64","5.953362700","58.20.254.99","192.168.1.10","TCP","58","31565  >  55050 [ACK] Seq=390 Ack=261 Win=426 Len=0","31565","55050"
"65","6.190641100","58.20.254.99","192.168.1.10","TLSv1.2","245","Application Data","31565","55050"
"66","6.234956100","192.168.1.10","58.20.254.99","TCP","54","55050  >  31565 [ACK] Seq=261 Ack=577 Win=251 Len=0","55050","31565"
"67","7.789673700","192.168.1.10","124.225.102.15","TCP","55","62349  >  31565 [ACK] Seq=1 Ack=1 Win=255 Len=1","62349","31565"
"68","7.815803300","124.225.102.15","192.168.1.10","TCP","70","31565  >  62349 [ACK] Seq=1 Ack=2 Win=94 Len=0 SLE=1 SRE=2","31565","62349"
"69","8.377851100","192.168.1.10","223.6.6.6","UDP","67","63797  >  443 Len=25","63797","443"
"70","8.444523700","223.6.6.6","192.168.1.10","UDP","74","443  >  63797 Len=28","443","63797"
"71","8.550894100","192.168.1.10","58.20.254.99","TCP","55","51457  >  31565 [ACK] Seq=1 Ack=1 Win=251 Len=1","51457","31565"
"72","8.576713200","58.20.254.99","192.168.1.10","TCP","70","31565  >  51457 [ACK] Seq=1 Ack=2 Win=813 Len=0 SLE=1 SRE=2","31565","51457"
"73","8.970372100","58.20.254.99","192.168.1.10","TLSv1.2","108","Application Data","31565","63325"
"74","8.971279700","192.168.1.10","58.20.254.99","TLSv1.2","108","Application Data","63325","31565"
"75","8.990326700","58.20.254.99","192.168.1.10","TCP","64","31565  >  63325 [ACK] Seq=51 Ack=56 Win=2524 Len=0","31565","63325"
